Kollege_f1	Seine Schilderungen wie ihn 	Kollegenkeywordtag 	meiden und Nachbarn bespitzeln erinnern an alte DDR-Zeiten 
Kollege_f1	Mit der Chuzpe des wahren Surrealisten bedient er sich der formalen Vorgaben großer und minder großer 	Kollegenkeywordtag 	Picasso begegnet uns genauso offensichtlich wie Hieronymus Bosch Dubuffet findet sich darin zitiert und die guten Ambitionen der COBRA-Maler ... kurzum In Fragen des geistigen Eigentums verhält sich Baj so liberal wie es dem echten Libertären ansteht als souveräner Spieler 
Kollege_f1	Kammersängerregie das gab 's früher als manch ausgesungener Gesangsmime seinenkeywordtag 	Kollegenkeywordtag 	sagte ob sie sich von links oder von rechts schnurstracks auf die Rampe zubewegen sollten und wie sie wieder von der Bühne hinuntergelangen könnten 
Kollege_f1	Nicht überwiegend aus Mitgliedsbeiträgen wie seinekeywordtag 	Kollegenkeywordtag 	bestreitet Beck seine Arbeit sondern zu einem Gutteil mit Staatsgeldern anders könnte er seinen Geschäftsführer nicht bezahlen 
Kollege_f1	Das Todesurteil gegen Ken Saro-Wiwa den nigerianischen Buch- und Bühnenautor Filmproduzenten und Umweltaktivisten ist fünftausend Kilometer nördlich seines Landes im West Yorkshire Playhouse der nordenglischen Stadt Leeds unversehens zum unsichtbaren Hintergrund der Uraufführung eines neuen Theaterwerkes seineskeywordtag weltberühmten Landsmannes 	Kollegenkeywordtag 	und Mitstreiters Wole Soyinka geworden 
Kollege_f1	Wenig später bat ich ihn auf Empfehlung eines 	Kollegenkeywordtag 	um einen Aufsatz über die Rolle der englischen Sprache und ihrer Spielarten in Afrika die er auch in dem neuen Stück verwendet 
Kollege_f1	So hätten die `` 	Kollegenkeywordtag 	'' von der GGLF in strategischer Weitsicht schon in den 70er Jahren einen Schritt in die Zukunft gemacht als sie mit den Arbeitgebern eine europäisch gültige Absprache über die Arbeitszeit von Landarbeitern vereinbart hätten sagte er 
Kollege_f1	`` Für Schrottrecycling wollen wir gar nicht zuständig sein dafür bist du alleine zuständig 	Kollegekeywordtag 	Zwickelkeywordtag '' sagte der Vorsitzende Klaus Wiesehügel unter Beifall der Delegierten 
Kollege_f1	Hiller hatte die mit Hilfe der niedersächsischen Schwusos dem Arbeitskreis Schwuler Sozialdemokraten erarbeiteten Vorschläge für eine gesetzliche Regelung seinenkeywordtag 	Kollegenkeywordtag 	zukommen lassen um sich ein Stimmungsbild zu verschaffen 
Kollege_f1	Sie forderte mit Blick auf den Mannheimer Parteitag in der kommenden Woche ihrekeywordtag niedersächsischen und saarländischen 	Kollegenkeywordtag 	Gerhard Schröder und Oskar Lafontaine auf Scharping nicht immer nur zu kritisieren 
Kollege_f1	Stichworte wie `` Sonderweg '' `` Klassengesellschaft '' `` Imperialismus '' und `` Weber '' lassen vermuten daß sich bei dieser Tagung Vertreter einer ungewöhnlich erfolgreichen Generation von deutschen Historikern mit 	Kollegenkeywordtag 	aus amerikanischen Universitäten getroffen haben um gemeinsam alte Schlachtfelder abzuschreiten und sich der fortdauernden normativen Westbindung ihres Gewerbes zu vergewissern 
Kollege_f1	`` Nach Jakarta '' da ist sich Bundesumweltministerin Angela Merkel CDU sicher `` werden wenige meinerkeywordtag europäischen 	Kollegenkeywordtag 	fahren '' 
Kollege_f1	Frau Merkel und ihrekeywordtag 	Kollegenkeywordtag 	aus der Europäischen Union hatten Anfang Oktober in Luxemburg als Verhandlungslinie für Jakarta lediglich festgelegt daß dort `` die schnelle Aufnahme von Verhandlungen über ein Protokoll über biologische Sicherheit beschlossen wird '' 
Kollege_f1	Die Utrechter Polizei bezichtigte ihrekeywordtag Amsterdamer 	Kollegenkeywordtag 	der Korruption 
Kollege_f1	Der im Nahost-Geschäft be- und geschlagene Ex-Strabag-Chef Peter Jungen versteht die Ängste seinerkeywordtag 	Kollegenkeywordtag 	
Kollege_f1	Nicht nur `` seriöse '' Sozialwissenschaftler auch die Meinungsforschungsinstitute untereinander bezeichnen angeekelt die Arbeit des jeweils anderen als `` Putzfrauenumfrage '' die 	Kollegenkeywordtag 	nennen sich gegenseitig schon einmal `` Mietmäuler '' 
Kollege_f1	Daß die entsetzten Handwerker angesichts des zum Tier gewordenen 	Kollegenkeywordtag 	bei Shakespeare ausrufen `` Bottom you are translated '' war Schmidt eine Metapher für die tierische Schwierigkeit einer sprachlichen Übertragung aus dem Englischen bei ihm Edgar Allen Poes 
Kollege_f1	Keine Erwähnung ist ihnen wert daß kurz darauf im selben Magazin andere Wissenschaftler Rechenfehler ihrerkeywordtag 	Kollegenkeywordtag 	aufdeckten und darauf hinwiesen daß der tatsächlich geplante Brent-Spar-Versenkungsort mitnichten ein Tiefsee-Quellgebiet sondern die quellfreie `` North Fermi Ridge '' sein sollte 
Kollege_f1	An die lange Zeit zögerliche Rolle Großbritanniens beim Wirtschaftsboykott gegen das südafrikanische Apartheidsystem wird in Auckland Präsident Nelson Mandela seinenkeywordtag 	Kollegenkeywordtag 	Majorkeywordtag erinnern 
Kollege_f1	Die Konfrontation mit John Major werden der australische Premierminister Paul Keating seinkeywordtag neuseeländischer 	Kollegekeywordtag 	Jim Bolger und Papua-Neuguineas Premierminister und derzeitiger Vorsitzender des Südpazifischen Forums Sir Julius Chan anführen 
Kollege_f1	Beim Treffen des US-Verteidigungsministers William Perry mit seinemkeywordtag russischen 	Kollegenkeywordtag 	Pawel Gratschow ging es um politische Maskenbildnerei 
Kollege_f1	Wie seinekeywordtag 	Kollegenkeywordtag 	in Frankfurt und Leverkusen stellt BASF-Chef Jürgen Strube seinen Aktionären eine höhere Dividende in Aussicht 
Kollege_f1	1700 bekam er eine freiwerdende Hofbaumeisterstelle und rückte nach dem Tode des großen 	Kollegenkeywordtag 	und Rivalen Johann Bernhard Fischer von Erlach 1723 zum Ersten Hofbaumeister auf 
Kollege_f1	Fremdes schrecke zuerst einmal meint indes seinkeywordtag Erlanger 	Kollegekeywordtag 	Peschel-Rentschkeywordtag 
Kollege_f1	P. S. Ein 	Kollegekeywordtag 	in der Nachrichtenredaktion der früher als Korrespondent einer Nachrichtenagentur in Mainz arbeitete meldet heftigsten Protest an 
Kollege_f1	Er teilt seinenkeywordtag 	Kollegenkeywordtag 	mit wie sich die deutsche Seite die dauerhafte Einhaltung der Stabilitätskriterien in der 3. und letzten Stufe der Europäischen Wirtschafts- und Währungsunion EWWU vorstellt und wie sie durchgesetzt werden sollen 
Kollege_f1	Er war geladen um den Wunsch seineskeywordtag deutschen 	Kollegenkeywordtag 	Klaus Kinkel nach Information über den Islam zu erfüllen 
Kollege_f1	Die Reaktion seineskeywordtag irischen 	Kollegenkeywordtag 	Quinnkeywordtag spricht Bände 
Kollege_f1	Der Franzose und Lubbers-Freund Chirac überredete die 	Kollegenkeywordtag 	Kohl und Major seinen Favoriten mitzutragen 
Kollege_f1	Der irische Ministerpräsident John Bruton rief seinenkeywordtag britischen 	Kollegenkeywordtag 	John Major dazu auf mit einer `` großzügigen mutigen und entschlossenen Geste '' auf den Waffenstillstand der IRA zu reagieren 
Kollege_f1	In noch subtilere Klangwelten führten Gérard Pessons Sechs Tropen nach Liedern von Giuliano d'Angiolini über Gedichte von Sandro Penna eine Art Meta-Komposition zu derjenigen des befreundeten 	Kollegenkeywordtag 	d'Angioliniskeywordtag 
Kollege_f1	Nicht nur schüttelt der deutsche Regierungschef die Hände von Premier Li Peng und Jiang Zemin häufiger als seinekeywordtag westlichen 	Kollegenkeywordtag 	er versteht sich auch ausgezeichnet auf genau jene symbolkräftigen Gesten die in Peking gut ankommen 
Kollege_f1	`` Unserekeywordtag organisierten 	Kollegenkeywordtag 	auf dem Bau sollen der Gewerkschaft melden wenn unerlaubt Billigarbeiter beschäftigt werden 
Kollege_f1	Denn vor Ort bei den 	Kollegenkeywordtag 	kocht es '' 
Kollege_f1	Bräutigam und seinenkeywordtag 	Kollegenkeywordtag 	wird Voreingenommenheit vorgeworfen weil sie den ursprünglichen Anklagepunkt des Totschlags an Flüchtlingen verschärft hätten 
Kollege_f1	Eine Gruppe allerdings vermißt DDV-Manager Herbst die 	Kollegenkeywordtag 	von den klassischen Werbeagenturen 
Kollege_f1	Dennoch haben wir nie aufgehört unserekeywordtag 	Kollegenkeywordtag 	zu ermahnen den israelischen `` Friedensritter '' nicht zur Beute jener Wölfe des Rassismus werden zu lassen die in den Straßen und vor unseren Türen herumstreichen 
Kollege_f1	Aus unserer reichen und bitteren Erfahrung appellieren wir an unserekeywordtag arabischen 	Kollegenkeywordtag 	den palästinensischen `` Friedensritter '' nicht im Stich zu lassen 
Kollege_f1	Aber was ist denn geschehen daß Kohlskeywordtag Pekinger 	Kollegekeywordtag 	Li Peng in genau vorletzter Minute keine Zeit mehr hat der Kanzler-Einladung zum formellen Abendessen zu folgen 
Kollege_f1	`` Was ich meinenkeywordtag 	Kollegenkeywordtag 	im Vorstand nicht ins Gesicht sagen will das sage ich auch nicht in Hintergrundgesprächen '' 
Kollege_f1	`` Was ich meinenkeywordtag 	Kollegenkeywordtag 	im Vorstand nicht ins Gesicht sagen will das sage ich auch nicht in Hintergrundgesprächen '' 
Kollege_f1	Mit seinenkeywordtag beiden 	Kollegenkeywordtag 	muß er gleich neben dem Denkmal eine offenliegende Leitung gegen den strömenden Regen schützen 
Kollege_f1	Wenig Wirkung zeigt nach Angaben der Vereinten Nationen die in Dayton zwischen dem kroatischen Präsidenten Franjo Tudjman und seinemkeywordtag bosnischen 	Kollegenkeywordtag 	Alija Izetbegovic vereinbarte begrenzte Rückkehr kroatischer und moslemischer Flüchtlinge in Bosnien 
Kollege_f1	Litauens Präsident Algirdas Brazauskas hat jetzt seinenkeywordtag 	Kollegenkeywordtag 	Guntis Ulmanis nach Vilnius gebeten um mit ihm über die Trennlinie in der Ostsee zu beraten 
Kollege_f1	Doch als `` Engländer '' können sie nicht wie ihrekeywordtag 	Kollegenkeywordtag 	in Berlin durch Dialektunterschiede oder die Sprachgewohnheiten ihrer Gesellschaftskreise ein Gefühl der Unmittelbarkeit fördern 
Kollege_f1	Fünf 	Kollegenkeywordtag 	sollen dem Treiben gröhlend zugesehen haben 
Kollege_f1	Die Idee ist daß nach dem Senior-Junior-Modell ein älterer Pastor nur noch zu 75 Prozent arbeitet und damit 25 Prozent des Gehalts eines jüngeren 	Kollegenkeywordtag 	an seiner Seite finanziert 
Kollege_f1	Ungarns Ministerpräsident Gyula Horn hatte das Gesetz in einem Brief an seinenkeywordtag slowakischen 	Kollegenkeywordtag 	Vladimir Meciar als `` unannehmbaren Schritt zurück '' bezeichnet 
Kollege_f1	Ein Bravourstück hat er als Finanzminister schon Anfang der neunziger Jahre hingelegt als er im EU-Ministerrat die Belange des Finanzplatzes Luxemburg energisch verteidigte und die Einführung einer europäischen Quellensteuer verhinderte was dem deutschen 	Kollegenkeywordtag 	Theo Waigel überhaupt nicht paßte 
Kollege_f1	Die Empörung von Kolleginnen war groß die männlichen 	Kollegenkeywordtag 	hielten sich lautlos-solidarisch zurück 
Kollege_f1	Die redaktionell tätigen Kolleginnen verfügen zwar in der Regel über höhere Qualifikationen als ihrekeywordtag 	Kollegenkeywordtag 	
Kollege_f1	So bleibt dem 	Kollegenkeywordtag 	bis Ende des Presseclubs der grundlegende Unterschied zwischen Aufgabe und Kompetenzen von Regierungsdelegationen einerseits und Nicht-Regierungsorganisationen andererseits verborgen obwohl die Fachkolleginnen sich mehrfach freundlich bemühen ihn über diese Grundlagenstrukturen internationaler Politik aufzuklären 
Kollege_f1	Ein paar Schritte weiter im zweigeschossigen Zellentrakt kauern in dunklen nackten allenfalls mit einer dünnen Matratze `` möblierten '' Verliesen einige von Maryskeywordtag `` 	Kollegenkeywordtag 	'' ein Betrüger ein Bücherdieb ein Alter der illegal eine Schnapsdestille betrieb ein Neunjähriger der es verstand geschickt in fremde Taschen zu langen eine junge Frau mit ihrem Baby an der Brust die in Zeiten der großen Hungersnot wohl irgendwo einen Kanten Brot oder eine andere Kleinigkeit hatte mitgehen lassen 
Kollege_f1	Ähnlich argumentiert seinkeywordtag 	Kollegekeywordtag 	Bernd Ellermann vom Branchenzweiten Vereinte 
Kollege_f1	Diese Äußerungen hätten `` unwiderlegbar den Eindruck entstehen '' lassen so urteilten Bräutigamskeywordtag 	Kollegenkeywordtag 	`` dieser Richter nehme eine innere Haltung ein die seine Unvoreingenommenheit und Unparteilichkeit einschränken und seine Entscheidung zum Nachteil des Angeklagten beeinflussen kann '' 
Kollege_f1	Ein Richter müsse bei öffentlichen Äußerungen Zurückhaltung üben betonten die 	Kollegenkeywordtag 	Bräutigamskeywordtag 
Kollege_f1	Alle zwei Stunden etwa wechselte sich die Agentur-Korrespondentin mit einem später zwei 	Kollegenkeywordtag 	ab setzte sich an den Ticker und verfaßte ihre Meldung 
Kollege_f1	Anders als ihrekeywordtag ausländischen 	Kollegenkeywordtag 	durften sich die deutschen Journalisten längst nicht überall frei bewegen wurden über die Maßen genau kontrolliert mußten durch einen Nebeneingang das Gerichtsgebäude betreten 
Kollege_f1	der 	Kollegekeywordtag 	nutzte die Zeit vornehmlich um die Deutschen mit Vorwürfen und Beschimpfungen zu überhäufen 
Kollege_f1	Sie nahm zwar bald von 	Kollegenkeywordtag 	überredet ihre Kündigung zurück 
Kollege_f1	Ein Beispiel für die Folgen Beim größten Datenverarbeiter SAP in Walldorf arbeiten etwa 3000 `` Kolleginnen und 	Kollegenkeywordtag 	'' keine Gewerkschaft hat bisher dort Fuß gefaßt 
Kollege_f1	Der Konflikt begann als die vom ACTU inzwischen zu `` Helden der Gewerkschaftsbewegung '' erklärten 76 Arbeiter dieselben um bis zu 20 000 australische Dollar im Jahr höher liegenden Gehälter verlangten die ihrekeywordtag 	Kollegenkeywordtag 	mit Einzelverträgen beziehen ohne jedoch ihre an die Gewerkschaft gebundenen Verträge aufgeben zu wollen 
Kollege_f1	Für seinenkeywordtag 	Kollegenkeywordtag 	Robert Kempner den Deutschen der US-Amerikaner werden mußte um Nationalsozialisten vor Gericht zu bringen mögen Aufklärung und Ahndung der Verbrechen im Vordergrund gestanden haben 
Kollege_f1		kollegekeywordtag 	sattlerkeywordtag hat eine vorschau geschrieben die ich nicht mitgenommen habe die aber in eventuelle berichterstattung einfließen könnte 
Kollege_f1	ansonsten hinterlasse ich dir leider keine brauchbaren texte was daran liegt daß die 	kollegenkeywordtag 	korrespondentenkeywordtag alle aktuell geliefert haben und nicht an `` den tag danach '' dachten 
Kollege_f1	Von der Seite springt ein 	Kollegekeywordtag 	hinzu und startet mitreißende Tanzorgien aus Kreiseln und Sprüngen Stürzen und Sich-Aufrichten 
Kollege_f1	Erst wenige Tage zuvor hatte Kohl gemeinsam mit Chinas Premier Li Peng in Peking eine Sitzung der `` Gemeinsamen Kommission '' eröffnet wo die deutschen Wirtschaftsvertreter ihrenkeywordtag chinesischen 	Kollegenkeywordtag 	brav in drei Reihen gegenübersaßen 
Kollege_f1	Eicherskeywordtag 	Kollegekeywordtag 	Professorkeywordtag Norbert Mette meinte die Entwicklung plebiszitär-demokratischer Kultur in Deutschland werde sich auch auf Parteien und Gewerkschaften auswirken 
Kollege_f1	`` Da kommen die anderen Vereine in Deutschland nicht annähernd mit '' verschlug es dem ansonsten nicht auf den Mund gefallenen Bremer 	Kollegenkeywordtag 	Willi Lemke fast die Sprache 
Kollege_f1	Der Chef der Glasgow Rangers Sir David Murray rühmt den Coup seineskeywordtag 	Kollegenkeywordtag 	Hallkeywordtag als `` brilliant piece of business '' 
Kollege_f1	In einem Brief hat Minister Matthias Wissmann unterdessen seinenkeywordtag 	Kollegenkeywordtag 	Rafael Arias Salgado aufgefordert dafür Sorge zu tragen daß die deutschen Lkw-Fahrer sicher aus den Straßenblockaden geleitet würden 
Kollege_f1	`` Eine ganz klare Entscheidung für eine europäische Hartwährung '' erkannte Bundesfinanzminister Theo Waigel CSU der Euro werde nicht nur bei seiner Einführung hart sein sondern auch so hart bleiben `` wie die D-Mark es heute ist '' sekundierte seinkeywordtag 	Kollegekeywordtag 	fürs Auswärtige Klaus Kinkel FDP 
Kollege_f1	Die Länder-Finanzminister räumten ein selbst wenn ihrkeywordtag 	Kollegekeywordtag 	Theo Waigel dessen Staatssekretär Manfred Overhaus seine Teilnahme in Bad Homburg kurzfristig abgesagt hatte im laufenden Jahr die Konvergenzwerte erreiche sei `` derzeit nicht gesichert '' ob Deutschland die im Maastricht-Vertrag festgeschriebene Beitrittsvoraussetzung einer auf Dauer tragbaren Finanzlage der öffentlichen Hand erfülle 
Kollege_f1	Daß sich an dem Zustand wenigstens tendenziell etwas ändern könnte auf diesen Gedanken sind der Chef von RWE Energie und etliche seinerkeywordtag 	Kollegenkeywordtag 	in anderen Unternehmen im Verlauf der Diskussion über die Liberalisierung der europäischen Strommärkte gekommen 
Kollege_f1	Im vergangenen Jahr wurden 66 Steuerbeamte ermordet 41 	Kollegenkeywordtag 	zündeten Brandstifter das Dach über dem Kopf an 
Kollege_f1	In Japan sei für ein ähnliches Projekt zur Wiedereintrittstechnik von Raumfahrzeugen in die Erdatmosphäre weniger Geld ausgegeben worden was freilich nicht verhinderte daß die asiatischen 	Kollegenkeywordtag 	erheblich weitergekommen seien Flugversuche absolviert und die Deutschen in diesem Bereich mittlerweile `` meilenweit abgehängt '' hätten 
Kollege_f1	Seinkeywordtag 	Kollegekeywordtag 	Hilmar Kopper von der Deutschen Bank glaubt daß sich die Konzentration in der deutschen Kreditwirtschaft durch die Einführung des Euro noch verstärken werde 
Kollege_f1	Rund drei Milliarden Mark wird die Aktion in die Kassen von BV-Chef Albrecht Schmidt spülen auf die künftig auch das Haus seineskeywordtag 	Kollegenkeywordtag 	Eberhard Martini zugreifen kann 
Kollege_f1	In einem Boot mit 	Kollegenkeywordtag 	die Spielautomaten an Deck installieren will der Manager nicht sitzen 
Kollege_f1	Die aber will sich nicht auf die Finger sehen lassen und enthält dem Volksvertreter und seinenkeywordtag 	Kollegenkeywordtag 	im Bundestag wichtige Informationen vor 
Kollege_f1	Das berichteten Douglas Brash von der Yale Universität in New Haven Connecticut und 	Kollegenkeywordtag 	in der Zeitschrift Proceedings of the National Academy of Sciences Bd. 93 S. 14025 
Kollege_f1	Unerwartet kam für Brash und 	Kollegenkeywordtag 	daß die Hautproben nicht nur einzelne Zellen mit dem veränderten p53-Gen enthielten sondern größere Flächen 
Kollege_f1	Die Frauen in den USA sind in den vergangenen 25 Jahren im Job und bei der Bezahlung dem Status der männlichen 	Kollegenkeywordtag 	nähergekommen wie eine neue Studie zeigt 
Kollege_f1	Seinkeywordtag 	Kollegekeywordtag 	von der FDP Hermann Otto Solms und deren Parteivorsitzender Wolfgang Gerhardt hatten am Donnerstag erneut ein Abschaffen des derzeit 7,5 prozentigen Zuschlages auf die Lohn- Einkommen- und Körperschaftsteuer bis zur Jahrtausendwende befürwortet 
Kollege_f1	Das ist weit höher als der Durchschnittsverdienst ihrerkeywordtag 	Kollegenkeywordtag 	bei den einheimischen Banken 
Kollege_f1	Dort beriet er mit seinemkeywordtag südkoreanischen 	Kollegenkeywordtag 	Yoo Chong Ha 
Kollege_f1	Nach einem Gespräch mit seinemkeywordtag südkoreanischen 	Kollegenkeywordtag 	Yoo Chong Ha sagte Chinas Außenminister Qian Qichen am Freitag in Singapur seine Regierung benötige noch Zeit um eine Entscheidung zu treffen 
Kollege_f1	Wenn Forscher Thomas Zimmerman einem 	Kollegenkeywordtag 	die Hand schüttelt wird allein über den Hautkontakt ein kleines Computernetzwerk aufgebaut und die elektronischen Varianten von Visitenkarten ausgetauscht 
Kollege_f1	Auf einer Tagung der Königlichen Astronomischen Gesellschaft in London erläuterten die Astronomen Michael Feast aus Südafrika und seinkeywordtag britischer 	Kollegekeywordtag 	Robin Catchpole ihre sensationellen Berechnungen die zahlreiche Widersprüche der vergangenen Jahre aufklären dürften 
Kollege_f1	Der große Krach ist ausgeblieben obwohl sich die europäischen Außenminister von ihrenkeywordtag 	Kollegenkeywordtag 	vom südostasiatischen Staatenbund Asean den Mund nicht verbieten ließen 
Kollege_f1	Das war nett und ich scheue mich nicht hinzuzufügen was dem 	Kollegenkeywordtag 	niemals aus der Feder käme 
Kollege_f1	Er schildert wie er und seinekeywordtag 	Kollegenkeywordtag 	`` heiß gemacht '' worden seien 
Kollege_f1	Das aggressive Auftreten eines Teils seinerkeywordtag 	Kollegenkeywordtag 	erklärt er auch mit überlangen Einsätzen 
Kollege_f1	Die 	Kollegenkeywordtag 	gaben diesem Wunsch statt 
