Donnerstag_5	Der Senat hatte am 	Donnerstagkeywordtag 	mit 173 gegen 140 Stimmen für die von Christdemokraten Sozialisten Sozialdemokraten und Liberalen gebildete Regierung votiert 
Donnerstag_13	Das Verfahren wegen Untreue gegen zwei Hauptabteilungsleiter der baden-württembergischen Toto-Lotto-GmbH ist am 	Donnerstagkeywordtag 	gegen die Zahlung von Geldbußen eingestellt worden 
Donnerstag_11	Mit geharnischtem Protest ist der britische Premierminister John Major am 	Donnerstagkeywordtag 	in Neuseeland empfangen worden 
Donnerstag_7	Der Festgenommene wird noch am heutigenkeywordtag 	Donnerstagkeywordtag 	in Mannheim dem Haftrichter vorgeführt 
Donnerstag_9	Bundeswirtschaftsminister Günter Rexrodt FDP kündigte am 	Donnerstagkeywordtag 	im Bundestag `` ein umfassendes Maßnahmenpaket für Wachstum und Beschäftigung '' an das soziale Kürzungen vorsieht und Anfang 1996 mit dem Jahreswirtschaftsbericht vorgelegt werden soll 
Donnerstag_24	Der Anbau soll nur landwirtschaftlichen Betrieben gestattet werden heißt es in einem Entwurf zur Änderung des Betäubungsmittelgesetzes den Seehofers Ministerium am 	Donnerstagkeywordtag 	in Bonn ankündigte 
Donnerstag_9	`` Ein Irrtum '' den Jägemann am 	Donnerstagkeywordtag 	bei einer Tagung seiner Organisation zum Europäischen Naturschutzjahr in Neu-Isenburg beklagte 
Donnerstag_9	Gegen den früheren NPD-Bundesvorsitzenden Günter Deckert ist am 	Donnerstagkeywordtag 	in Mannheim ein Haftbefehl wegen Volksverhetzung verkündet worden 
Donnerstag_9	Einer Gruppe internationaler Friedensaktivisten haben indonesische Behörden am 	Donnerstagkeywordtag 	die Einreise nach Ost-Timor verweigert 
Donnerstag_15	Er sei `` ein überzeugender Kandidat '' erklärte der FDP-Vorsitzende Wolfgang Gerhardt am 	Donnerstagkeywordtag 	in Gegensatz zu Bundeskanzler Helmut Kohl CDU der Sympathie für den niederländischen Bewerber Ruud Lubbers erkennen ließ 
Donnerstag_30	Gegen Sozialabbau und für eine Bildungspolitik die sich nicht nur an wirtschaftlichen Erfordernissen ausrichtet hat sich die Synode der Evangelischen Kirche in Deutschland EKD am 	Donnerstagkeywordtag 	in Friedrichshafen stark gemacht 
Donnerstag_8	Das Bundessozialgericht BSG hat am 	Donnerstagkeywordtag 	in Kassel entschieden daß Arbeitnehmer die sich ihre Kündigung vom Arbeitgeber `` vergolden '' lassen mit einer Sperre des Arbeitslosengeldes rechnen müssen 
Donnerstag_24	Die im Zusammenhang mit der zum 1. Januar 1996 geplanten Zollunion mit der EU geführte Menschenrechts- und Demokratiedebatte bezeichnete Ciller in einer am 	Donnerstagkeywordtag 	in Ankara veröffentlichten Erklärung als `` übertrieben und überhitzt '' 
Donnerstag_11	In einer Gedenkstunde der Frankfurter Jüdischen Gemeinde sagte Bubis am 	Donnerstagkeywordtag 	abend letztlich helfe nur das Erinnern gegen eine Wiederholung 
Donnerstag_6	Bundeskanzler Helmut Kohl würdigte am 	Donnerstagkeywordtag 	zum sechsten Jahrestag der Öffnung der Berliner Mauer das Engagement der Bürgerrechtler in der früheren DDR 
Donnerstag_21	Erst nach der Bestätigung des Todesurteils schickte der Vorsitzende der Royal Dutch Shell Gruppe Cor Herkströter am 	Donnerstagkeywordtag 	aus Den Haag ein persönliches Schreiben an das nigerianische Staatsoberhaupt mit der Bitte um `` Milde '' für Ken Saro-Wiwa und seine Mitangeklagten 
Donnerstag_13	Etwa 1500 Angestellte der Vereinten Nationen und anderer internationaler Organisationen sind am 	Donnerstagkeywordtag 	in Genf auf die Straße gegangen 
Donnerstag_16	Anlaß waren die Feierlichkeiten zum 25. Todestag de Gaulles den das politische Frankreich am 	Donnerstagkeywordtag 	mit der traditionellen Pilgerfahrt zur Messe nach Colombey einem Gottesdienst in Paris und einer Zeremonie am Abend vor dem Pariser Invalidendom beging 
Donnerstag_9	Die Boulevardzeitung Le Parisien legte ihrer Ausgabe vom 	Donnerstagkeywordtag 	eine Kopie des Extrablattes bei mit dem sie damals den Tod des Generals meldete 
Donnerstag_3	Der am 	Donnerstagkeywordtag 	zum neuen Vorsitzenden des Deutschen Beamtenbundes DBB gewählte Chef der Deutschen Steuergewerkschaft Erhard Geyer CDU forderte auf dem DBB-Bundesvertretertag in Bonn ein `` Ende der Polemik '' gegen das Berufsbeamtentum 
Donnerstag_14	Das ergab nach Informationen der Frankfurter Rundschau ein Gespräch das Rühe am 	Donnerstagkeywordtag 	in Bonn mit Generalinspekteur Klaus Naumann den Staatssekretären und den Abteilungsleitern seines Ministeriums geführt hat 
Donnerstag_7	Vertreter zionistischer Gruppen setzten sich am 	Donnerstagkeywordtag 	in Jerusalem damit auseinander welche Verantwortung sie für die Gewaltbereitschaft junger Menschen tragen 
Donnerstag_8	Das Grab Kahanes in Jerusalem wurde am 	Donnerstagkeywordtag 	mit weißer Farbe beschmiert 
Donnerstag_11	Trotz des daher vorhersehbaren Chaos sagte Bundesgeschäftsführer Franz Müntefering am 	Donnerstagkeywordtag 	in Bonn einen `` realistischen offenen interessanten zukunftweisenden '' Parteitag voraus 
Donnerstag_15	Schon zwei Tage nach der Festnahme von drei mutmaßlichen Tresorknackern haben rumänische Einbrecherbanden am 	Donnerstagkeywordtag 	in Osthessen offenbar erneut zugeschlagen 
Donnerstag_18	Der zuständige Sachgebietsleiter beim bayerischen Landeskriminalamt LKA in München Walter Mäusbacher sagte am 	Donnerstagkeywordtag 	`` Wir gehen davon aus daß diese Banden bei ihren Beutezügen fast militärisch organisiert vorgehen '' 
Donnerstag_15	Der bosnische Präsident Alija Izetbegovic und sein kroatischer Amtskollege Franjo Tudjman haben sich am 	Donnerstagkeywordtag 	bei den Friedensverhandlungen im US-amerikanischen Dayton darauf verständigt die moslemisch-kroatische Föderation zu stärken 
Donnerstag_30	Angesichts des bevorstehenden Winters sollten `` als menschliche Geste '' Erdgaslieferungen aus Rußland an die jugoslawischen Haushalte für zunächst zwei Monate gestattet werden sagte US-Außenamtssprecher Nicholas Burn am 	Donnerstagkeywordtag 	in Washington 
Donnerstag_5	Kroatische Einheiten waren am 	Donnerstagkeywordtag 	auf dem Vormarsch auf das von Serben kontrollierte Ostslawonien 
Donnerstag_11	Der russische Präsident Boris Jelzin hat Außenminister Andrej Kosyrew am 	Donnerstagkeywordtag 	als neuen Vize-Minister den Diplomaten bei den UN Wassili Sidorow zur Seite gestellt 
Donnerstag_24	`` Die Kinder waren sehr erfolgreich und das ist beunruhigend '' sagte Steven Tobias von der texanischen Gesundheitsbehörde in Austin am 	Donnerstagkeywordtag 	
Donnerstag_20	`` 25 Bundestagsabgeordnete fünf Europaparlamentarier zwei Landesminister 21 Landtagsabgeordnete und ein grüner Regierungspräsident '' zählte am 	Donnerstagkeywordtag 	abend Hubert Kleinert Autor des entsprechenden Antrages die Erstunterzeichner auf 
Donnerstag_5	Ihr Agent sagte am 	Donnerstagkeywordtag 	als leitende Staatsanwältin habe Marcia Clark wie kein anderer den Prozeß erlebt 
Donnerstag_33	`` Wenn die internationale Staatengemeinschaft meine Mission in den Tagen nach Beginn des Bürgerkrieges verstärkt hätte wären Hunderttausende Menschen noch am Leben '' sagte der kanadische General Romeo Dallaire am 	Donnerstagkeywordtag 	abend im belgischen Fernsehsender RTBF 
Donnerstag_9	Auch der belgische Verteidigungsminister Jean-Pol Poncelet räumte am 	Donnerstagkeywordtag 	ein daß seine Regierung in Brüssel seit Januar 1994 durch den belgischen Geheimdienst von den Vorbereitungen des Völkermordes unterrichtet gewesen sei 
Donnerstag_5	Kroatische Truppen sind am 	Donnerstagkeywordtag 	in die Pufferzone zwischen Kroatien und dem von Serben kontrollierten Ostslawonien eingedrungen 
Donnerstag_6	Der brasilianische Senat hat am 	Donnerstagkeywordtag 	einen Gesetzentwurf gebilligt wonach die Angehörigen von Opfern der Militärverbrechen in den Jahren 1961 bis 1979 eine Bestätigung über den Tod ihrer Verwandten und eine Entschädigung erhalten sollen 
Donnerstag_5	Die USA hatten am 	Donnerstagkeywordtag 	sehr deutlich gezeigt daß sie Lubbers nicht wollen 
Donnerstag_15	Die EU-Staaten die USA und Polen hatten Nigerias Präsidenten Sani Abacha schon am 	Donnerstagkeywordtag 	aufgefordert das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen 
Donnerstag_4	Bereits am gestrigenkeywordtag 	Donnerstagkeywordtag 	hatte die Polizei zwei Verdächtige festgenommen nachdem bereits am Mittwoch der Anführer der Extremistengruppe Ejal in Polizeigewahrsam genommen worden war 
Donnerstag_24	Der palästinensische Regierungschef Yassir Arafat hat der Witwe Rabins bei einem persönlichen Besuch im Haus des ermordeten Regierungschefs in Tel Aviv am späten 	Donnerstagkeywordtag 	abend sein Beileid ausgesprochen 
Donnerstag_24	Wie mutmaßlich bei Frau Ziegler aus Zug C die bereits am Montag abend `` stark schwirbelt '' desorientiert ist und am 	Donnerstagkeywordtag 	sogar auf den Höhepunkt die Privataudienz beim Papst verzichten muß 
Donnerstag_15	Die EU-Staaten die USA und Polen hatten Nigerias Präsidenten Sani Abacha schon am 	Donnerstagkeywordtag 	aufgefordert das Urteil gegen den Schriftsteller Ken Saro-Wiwa und acht weitere Politiker rückgängig zu machen 
Donnerstag_7	Die Fraktionsvorsitzenden des Europaparlaments hatten am 	Donnerstagkeywordtag 	abend beschlossen die 34jährige kurdische Politikerin mit dem Preis für Verdienste um die Meinungsfreiheit zu ehren 
Donnerstag_7	Die Fraktionsvorsitzenden des Europaparlaments hatten am 	Donnerstagkeywordtag 	abend beschlossen die 34jährige kurdische Politikerin mit dem für Verdienste um die Meinungsfreiheit vergebenen Sacharow-Preis zu ehren 
Donnerstag_19	Im Hinblick auf die für den 21. und 22. November geplante mündliche Verhandlung des Gerichts sagte Kanther am 	Donnerstagkeywordtag 	abend vor Journalisten in Bonn keiner der `` zentralen Punkte '' Drittstaatenregelung sichere Herkunftsländer und Flughafenverfahren sei entbehrlich 
Donnerstag_24	`` Die Kinder waren sehr erfolgreich und das ist beunruhigend '' sagte Steven Tobias von der texanischen Gesundheitsbehörde in Austin am 	Donnerstagkeywordtag 	
Donnerstag_7	Die Frauen der Menschenrechtler durften seit 	Donnerstagkeywordtag 	abend nicht mehr zu ihren Männern 
Donnerstag_19	Der Bundestag hatte am Freitag einen Antrag der Opposition angenommen Welajati von der ursprünglich für Mittwoch und 	Donnerstagkeywordtag 	geplanten Islam-Konferenz wieder auszuladen 
Donnerstag_20	Weltparlament ist die erste Szene von Karlheinz Stockhausens MITTWOCH Oper im 7-Tage- LICHT -Zyklus begonnen 1981 mit 	DONNERSTAGkeywordtag 	als Tag des Lernens SAMSTAG Tag des Sterbens und Auferstehens MONTAG Tag der Geburt und DIENSTAG Tag des geistigen und physischen Kampfes 
Donnerstag_2	Am 	Donnerstagkeywordtag 	wird die Parteiführung neu gewählt 
Donnerstag_3	Dem drittenkeywordtag 	Donnerstagkeywordtag 	im November sehen die Winzer aus dem Beaujolais in diesem Jahr mit gemischten Gefühlen entgegen 
Donnerstag_5	Das Urteil soll am 	Donnerstagkeywordtag 	verkündet werden 
Donnerstag_10	In dem Gebäude werden Unterlagen für die Wahl am 	Donnerstagkeywordtag 	gelagert 
Donnerstag_22	Nachzulesen ist dies in der Ausstellung `` Eigener Herd ist Goldes wert '' im Leipziger Stadtgeschichtlichen Museum die am morgigenkeywordtag 	Donnerstagkeywordtag 	eröffnet wird 
Donnerstag_10	Nach Qingdao wird der Kanzler und seine Wirtschaftsdelegation am 	Donnerstagkeywordtag 	nach Vietnam weiterreisen der zweiten Station seiner zehntägigen Asienreise die ihn auch noch nach Singapur führen wird 
Donnerstag_15	Der Vorstand und damit auch die Stellvertreter von Parteichef Rudolf Scharping werden am morgigenkeywordtag 	Donnerstagkeywordtag 	auf dem Parteitag neu gewählt 
Donnerstag_7	Wer würde bei der Wahl am 	Donnerstagkeywordtag 	gekippt wenn es nur noch vier stellvertretende Vorsitzende gäbe 
Donnerstag_7	Trotz dieser Vorentscheidung ist am heutigenkeywordtag 	Donnerstagkeywordtag 	eine spannende Vorstandswahl zu erwarten 
Donnerstag_20	`` Intern '' seien die Delegierten ganz überwiegend nicht zuletzt unter dem Eindruck schlechter Erfahrungen mit dem langenkeywordtag 	Donnerstagkeywordtag 	`` massiv '' gegen eine Gesetzesänderung aufgetreten 
Donnerstag_5	`` Wie der langekeywordtag 	Donnerstagkeywordtag 	gezeigt hat führen längere Öffnungszeiten nicht zu mehr Umsatz sondern zu Verlagerungen zur City und zur grünen Wiese '' erläutert Glaubitz 
Donnerstag_3	`` Am 	Donnerstagkeywordtag 	das lohnt sich nicht da sind keine Leute da '' urteilt Michael Krebs der im Bonner Talweg der Hauptstraße des Stadtteils Zeitschriften Tabakwaren und Urlaubsreisen verkauft 
Donnerstag_6	Das Verwaltungsgericht Köln hat am 	Donnerstagkeywordtag 	das Verbot einer für Samstag in der Kölner Innenstadt geplanten Demonstration von Deutschen und Kurden bestätigt 
Donnerstag_7	Vor dem Magdeburger Oberlandesgericht hat am 	Donnerstagkeywordtag 	ein Prozeß gegen die Landesregierung von Sachsen-Anhalt wegen des Atommüll-Endlagers Morsleben begonnen 
Donnerstag_6	Als Motiv nannte D. am 	Donnerstagkeywordtag 	zum Auftakt des Mordprozesses Wut und Zorn auf seine frühere Ehefrau 
Donnerstag_19	Der Bund für Umwelt und Naturschutz Deutschland BUND sowie der Deutsche Arbeitsring für Lärmbekämpfung führten am 	Donnerstagkeywordtag 	in Bonn zwei Prozent aller Infarkte auf Verkehrslärm zurück 
Donnerstag_6	Wie die bayerische Grenzpolizei am 	Donnerstagkeywordtag 	mitteilte hatte der 41jährige Deutsche für einen Freund aus der Ukraine einen gebrauchten Wagen gekauft und dessen Daten in einen alten Kraftfahrzeugbrief eingetragen um die Ausgaben für Zulassung und Versicherung zu sparen 
Donnerstag_14	Zu diesem Ergebnis kam eine Untersuchung von Ärzten und Psychologen die am 	Donnerstagkeywordtag 	von der Moskauer Nachrichtenagentur Itar-Tass veröffentlicht wurde 
Donnerstag_8	Die Gegner des Atommüll-Endlagers Morsleben sind am 	Donnerstagkeywordtag 	erneut vor Gericht gescheitert 
Donnerstag_19	Nach dem Unfall eines Chemietransporters auf der A 1 bei Kamen mußte die Polizei in der Nacht zum 	Donnerstagkeywordtag 	vorübergehend Vergiftungs-Alarm geben 
Donnerstag_3	Am frühen 	Donnerstagkeywordtag 	morgen wurden die Einwohner in Kamen aufgefordert Fenster und Türen geschlossen zu halten Klimaanlagen abzustellen und die Häuser nicht zu verlassen 
Donnerstag_24	Zwischen ihm und der Parteispitze habe sich ein Graben aufgetan der nicht mehr zuzuschütten sei schrieb Schönhuber ap-Bild am 	Donnerstagkeywordtag 	an den Vorsitzenden Rolf Schlierer 
Donnerstag_7	Das hat das Landgericht Göttingen am 	Donnerstagkeywordtag 	entschieden und damit die Berufung Heises gegen ein gleichlautendes Urteil des Amtsgerichts Northeim verworfen 
Donnerstag_22	Die Armee rechne mit Minen und versteckten Sprengsätzen in der Hochburg der tamilischen Rebellen sagte ein Sprecher des Verteidigungsministeriums am 	Donnerstagkeywordtag 	in Colombo 
Donnerstag_6	Gegen beide erhob Goldstone am 	Donnerstagkeywordtag 	Anklage wegen Völkermordes und Verbrechen gegen die Menschlichkeit 
Donnerstag_4	In der am 	Donnerstagkeywordtag 	in Den Haag veröffentlichten Anklageschrift heißt es 
Donnerstag_9	Er bot dem usbekischen Präsidenten Islam Karimow am 	Donnerstagkeywordtag 	in Bonn Zusammenarbeit mit dem Ziel an den Menschen deutscher Abstammung als `` gleichberechtigte Bürger Usbekistans '' auf Dauer ihr Auskommen zu sichern 
Donnerstag_18	Die Meuterei im Athener Korydallos-Gefängnis der größten Haftanstalt des Landes ist in der Nacht zum 	Donnerstagkeywordtag 	mit der Freilassung der sechs Geiseln durch die Häftlinge zu Ende gegangen 
Donnerstag_13	Das sagte der Leiter der Anlage Belojarsk Oleg Sarajew am 	Donnerstagkeywordtag 	
Donnerstag_5	Diese Entscheidung gab am 	Donnerstagkeywordtag 	das Strafgericht in Lyon bekannt 
Donnerstag_7	Dies stellte das Straßburger Landgericht am 	Donnerstagkeywordtag 	fest 
Donnerstag_4	Nach einem am 	Donnerstagkeywordtag 	in Rotterdam unterzeichneten Umweltabkommen zwischen dem Verband der Chemischen Industrie VCI und der niederländischen Hafenstadt dürfen künftig allerdings in verringertem Umfang beträchtliche Schadstoffmengen von 60 deutschen Chemiefirmen in die Flüsse geleitet werden 
Donnerstag_21	Im Gegenzug für die Begrenzung der Schadstoffe verzichtete Rotterdam auf mögliche Schadenersatzforderungen gegen die VCI-Mitgliedsfirmen teilte der Verband am 	Donnerstagkeywordtag 	in Frankfurt mit 
Donnerstag_20	Nach zweitägigen Beratungen der deutsch-russischen Regierungskommission sagte der Aussiedlerbeauftragte der Bundesregierung Horst Waffenschmidt CDU am 	Donnerstagkeywordtag 	in Bonn die Hilfe käme dem Bau von Wohnungen der Schaffung von Arbeitsplätzen sowie der Förderung kultureller Einrichtungen zugute und sei eine Alternative zur Ausreise nach Deutschland 
Donnerstag_10	Unter dem Schutz Zehntausender Soldaten und Polizisten hat am 	Donnerstagkeywordtag 	die Wahl eines neuen Präsidenten in Algerien begonnen 
Donnerstag_22	Das internationale Jugoslawien-Tribunal in Den Haag hat seine Anklage gegen den bosnischen Serbenchef Radovan Karadzic und dessen Oberkommandierenden Ratko Mladic am 	Donnerstagkeywordtag 	ausgeweitet 
Donnerstag_7	Mit einer großen Beteiligung ist am 	Donnerstagkeywordtag 	abend in Algerien die Präsidentenwahl zu Ende gegangen 
Donnerstag_29	Der Staatschef stehe unter dem Verdacht im Jahr 1989 Einnahmen aus dem Verkauf von Filmrechten in den USA nicht versteuert zu haben teilte das Finanzministerium am 	Donnerstagkeywordtag 	in Warschau mit 
Donnerstag_8	Die Johannesburger Tageszeitung Beeld berichtete jedoch am 	Donnerstagkeywordtag 	daß die Villa Ende September von der Allied Bank gepfändet wurde weil Frau Mandela die Zinsen für die Hypothek nicht mehr zahlen konnte 
Donnerstag_5	Eiskalt lehnt Clinton am 	Donnerstagkeywordtag 	auch Angebote der Republikaner ab auf Einschnitte bei der Gesundheitsversorgung zu verzichten wenn der Präsident nur dem Ziel der Sieben-Jahres-Haushaltspolitik zustimme 
Donnerstag_7	Mehr als 6000 Menschen haben am 	Donnerstagkeywordtag 	in Dresden gegen geplante Einsparungen der Landesregierung bei der Arbeitsmarktpolitik demonstriert 
Donnerstag_22	An den Vortagen waren bereits in Chemnitz und Zwickau Tausende gegen die Sparpolitik des Landes auf die Straße gegangen am 	Donnerstagkeywordtag 	demonstrierten auch in Leipzig 1000 Menschen 
Donnerstag_7	Sondereinheiten der griechischen Polizei haben am 	Donnerstagkeywordtag 	das Hochsicherheitsgefängnis Korydallos in Athen gestürmt in dem am Dienstag eine Häftlingsmeuterei ausgebrochen war 
Donnerstag_3	An diesemkeywordtag 	Donnerstagkeywordtag 	gelingt ihm das nur unzureichend 
Donnerstag_3	Was am 	Donnerstagkeywordtag 	morgen geschah hatte sich seit Beginn des Parteitags angedeutet 
Donnerstag_6	US-Präsident Bill Clinton sagte am 	Donnerstagkeywordtag 	die Teilnahme am Asien-Pazifik-Gipfel in Japan ab 
Donnerstag_13	Dies kündigte der Wirtschaftssprecher der Bonner SPD-Fraktion Ernst Schwanhold am 	Donnerstagkeywordtag 	auf dem Parteitag in Mannheim an 
Donnerstag_13	Zum ersten Besuch eines deutschen Bundeskanzlers in Vietnam ist Helmut Kohl am 	Donnerstagkeywordtag 	in Hanoi eingetroffen 
Donnerstag_23	Diese Zahl nannte der Präsident des Hessischen Landesrechnungshofes Udo Müller bei einer Tagung der Mittelständischen Bauunternehmer BVMB am 	Donnerstagkeywordtag 	in Bonn 
Donnerstag_6	Wie der isrealische Rundfunk am 	Donnerstagkeywordtag 	berichtete tragen die 20 Beinhäuser nahe der Stadt Makkabim auf Griechisch und Hebräisch die Inschrift `` Hasmonäer '' eine andere Bezeichnung für die Makkabäer 
Donnerstag_16	Dies stellte der Bundesgerichtshof BGH in einem Urteil zur Rechtsbeugung durch DDR-Richter am 	Donnerstagkeywordtag 	fest 
Donnerstag_11	Der Leipziger Bundestagsabgeordnete Gunter Weißgerber bezeichnete die vorgesehene Begegnung am 	Donnerstagkeywordtag 	als geschmacklos 
Donnerstag_10	Nach seiner Wahl zum Parteivorsitzenden wollte sich Lafontaine am 	Donnerstagkeywordtag 	nicht dazu äußern ob er weiterhin an dem Gespräch mit Gysi festhalten wolle 
Donnerstag_17	Weil er über die Wahl Lafontaines offensichtlich verärgert war sagte Alt-Bundeskanzler Helmut Schmidt seinen für 	Donnerstagkeywordtag 	vorgesehenen Besuch auf dem Mannheimer SPD-Parteitag kurzfristig ab 
Donnerstag_16	Vor dem Untersuchungsausschuß des niedersächsischen Landtags sagte der für Staatsschutz und Aufklärung zuständige Beamte am 	Donnerstagkeywordtag 	die Gewalt der Jugendlichen habe sich erst an Ort und Stelle entwickelt und sei vom Verhalten der Polizei und der Medien mitgeprägt worden 
