einigen_f1	Mögliche Koalitionspartner 	einigtenkeywordtag 	sich auf Kandidatin 
einigen_f1	Die Präsidenten von Bosnien und Kroatien Alija Izetbegovic und Franjo Tudjman haben sich darauf 	geeinigtkeywordtag 	ihren bisher brüchigen Kooperationspakt zu erweitern 
einigen_f1	Nach langen Verhandlungen haben sich die EU und Marokko am Wochenende auf ein Assoziierungs-Abkommen 	geeinigtkeywordtag 	
einigen_f1	Schon über die Bildung der nach dem `` Washingtoner Abkommen '' vorgesehenen Kantone vier kroatische zwei moslemische und zwei gemischte haben sich beide Seiten bisher nicht 	einigenkeywordtag 	können 
einigen_f1	`` Die Parteien haben sich wie folgt 	geeinigtkeywordtag 	
einigen_f1	Daraufkeywordtag 	einigtenkeywordtag 	sich Paris und die algerische Botschaft 
einigen_f1	Wenn Kongreß und Präsident sich bis dahin nicht 	geeinigtkeywordtag 	haben muß der Verwaltungsbetrieb stark eingeschränkt werden 
einigen_f1	Sollten sich Kongreß und Regierung bis Mittwoch nicht 	geeinigtkeywordtag 	haben droht die Zahlungsunfähigkeit was auf dem amerikanischen Bond-Markt kräftige Kurseinbußen zur Folge haben könnte 
einigen_f1	Dort hatten sich im Januar die wichtigsten Oppositionsgruppen auf einen `` Nationalen Vertrag '' für die Rückkehr zum Dialog 	geeinigtkeywordtag 	der von der Militärregierung jedoch zurückgewiesen wurde 
einigen_f1	Angesichts der harten britischen Haltung hätten sich die Minister nicht einmal auf einen Diskussionseinstieg 	einigenkeywordtag 	können hieß es 
einigen_f1	Ferner haben sich Kroatien und Serbien auf einen Weg zur friedlichen Wiedereingliederung der von Kroatien abtrünnigen Region Ostslawonien 	geeinigtkeywordtag 	
einigen_f1	Er verlangte von der Kapitalseite sich endlich auf einen Personalvorschlag zu einigen 
einigen_f1	Doch auch wenn die Nato sich 	einigtkeywordtag 	ist vor dem Hintergrund der ungewissen innenpolitischen Situation in Rußland keineswegs sicher daß es zum Kompromiß kommt obwohl sich beide Seiten schon sehr nahe sind 
einigen_f1	Rußland und seine westlichen Gläubigerbanken haben sich über eine umfassende und langfristige Umschuldung von Auslandsverbindlichkeiten der ehemaligen Sowjetunion 	geeinigtkeywordtag 	
einigen_f1	Verhandlungsführer der beiden Kongreßparteien in Washington haben sich nach Medienberichten auf ein verkehrspolitisches Gesetzespaket 	geeinigtkeywordtag 	das die bundesweite Geschwindigkeitsbeschränkung von höchstens 65 Meilen 108 Stundenkilometer aufhebt 
einigen_f1	Rußland und der Westen haben sich am Freitag auf neue Verhandlungen zur Abänderung des KSE-Vertrags 	geeinigtkeywordtag 	
einigen_f1	In mehrstündigen Verhandlungen 	einigtenkeywordtag 	sich Besetzer und Politiker jetzt auf den Abzug 
einigen_f1	Nach vier Jahren für Umschuldungsverhandlungen eher ein kurzer Zeitraum haben sich Rußland und seine westlichen Gläubigerbanken auf ein Rahmenabkommen 	geeinigtkeywordtag 	
einigen_f1	Die Mitte-links-Parteien und die Lega Nord hatten sich auf diese Verschärfung des Ausländerrechts 	geeinigtkeywordtag 	
einigen_f1	Daraufkeywordtag 	einigtenkeywordtag 	sich die für das Budget zuständigen Minister die zugleich Änderungsvorschläge des Europäischen Parlaments ablehnten 
einigen_f1	Tudjmankeywordtag soll sich mit Milosevic 	geeinigtkeywordtag 	haben 
einigen_f1	Wie am Sonntag aus Konferenzkreisen verlautete haben sich die Präsidenten Kroatiens und Serbiens Franjo Tudjman und Slobodan Milosevic auf eine Erweiterung des serbischen Posavina-Korridors in Nordbosnien 	geeinigtkeywordtag 	der die serbischen Gebiete im Westen und Osten Bosniens miteinander verbindet 
einigen_f1	Jeder wie er will 	einigtekeywordtag 	mankeywordtag sich schließlich auf den Kompromiß auf der Richterbank saßen dann die Sowjets in Uniform ihre Westkollegen in Roben 
einigen_f1	am freitag verdichtete sich der eindruck daß die jungs in dayton ohio sich am wochenende zu einigen beabsichtigen 
einigen_f1	Die Verhandlungsführer der 128 in Indonesiens Hauptstadt Jakarta vertretenen Länder 	einigtenkeywordtag 	sich am Wochenende auf ein Mandat demzufolge in den nächsten drei Jahren ein Protokoll verabschiedet werden soll das Sicherheitsanforderungen beim grenzüberschreitenden Transport genetisch veränderter Organismen verbindlich festlegen wird 
einigen_f1	Werksleitung und Betriebsrat haben sich darauf 	geeinigtkeywordtag 	die für den heutigen Samstag vereinbarte Sonderschicht ebenso zu streichen wie die zusätzliche `` Nacht-Kür '' am Montag 
einigen_f1	Auf ihrem Dubliner Gipfel im Dezember 1996 hatten sich die Staats- und Regierungschefs der Europäischen Union EU nach jahrelangem Gewürge grundsätzlich auf dieses Abkommen 	geeinigtkeywordtag 	übrigens gegen anhaltenden Widerstand nicht zuletzt der Franzosen 
einigen_f1	Daraufkeywordtag 	einigtenkeywordtag 	sich die Industrieminister der EU 
